dry	0.00	5.00	2018-12-15 09:59:17.678617
weight_nrm	150.00	300.00	2018-12-15 10:22:44.582688
weight_cur	150.00	300.00	2018-12-15 10:22:44.598288
weight_net	22.00	33.50	2018-12-15 10:59:24.217752
nat	0.05	4.00	2018-12-15 10:59:24.264552
kal	1.80	8.00	2018-12-15 10:59:24.280152
an	0.45	7.00	2018-12-15 10:59:24.295752
weight_mea	20.00	40.00	2018-12-15 10:59:24.311352
density	0.50	1.50	2018-12-15 10:59:24.373752
pol	10.00	24.00	2021-12-18 09:06:28.759662
weight_dif	-0.40	0.40	2021-12-18 11:28:36.73304
\.


